plz,dist_transit_m,dist_park_m,dist_water_m,dist_school_m,count_food_500m,count_shop_500m,count_food_1000m,count_shop_1000m,count_transit_1000m,ndvi_mean,ndvi_std,ndvi_median,ndwi_mean,ndwi_std,ndwi_median,ndbi_mean,ndbi_std,ndbi_median
10115,133.96707626877438,341.04263266704885,509.7701509463425,305.9918753655488,55,10,222,26,5,0.2000431567373469,0.14723470837424688,0.15069283545017242,-0.20165392817283162,0.13003430999768828,-0.1676015555858612,-0.015676481387530684,0.10454604687407384,-0.005808268208056688
10117,92.56359753527636,200.27741217225585,226.9333468492284,311.59181090898727,81,3,302,18,12,0.08848369040912173,0.09213249953377103,0.06026151403784752,-0.10143701981525031,0.09118813472168003,-0.08140729367733002,0.040426544679789116,0.08644126449630953,0.04471002519130707
10119,298.73989582591093,306.27850426672563,272.0563287692306,109.726112514453,121,23,415,64,4,0.18974419778416698,0.13683344775314135,0.14469093084335327,-0.20141660706601427,0.1198824310756082,-0.1712752729654312,-0.00983721951843752,0.09957430144321437,0.002848035888746381
10178,105.30218390896022,174.09903778194249,156.6096071213087,300.94282544667254,89,17,266,41,10,0.12814200670952366,0.12272030043677405,0.07870753854513168,-0.1438528117827085,0.11190574187150851,-0.1083391010761261,0.014702977360905829,0.09238407738008064,0.023318659514188766
10179,186.01313491798717,190.67445292552816,333.1150393723786,357.0337352469884,35,6,122,22,6,0.17914337376408485,0.15084352922623936,0.12999200820922852,-0.17813425889452228,0.1374022949785224,-0.14553073048591614,-0.019217214778977997,0.10675616482211078,-0.008983401581645012
10243,334.69287794483233,92.95283017053497,464.054339556363,243.5180520080672,7,7,94,27,4,0.21545528610587972,0.15553702052109322,0.18002769351005554,-0.21593068362864504,0.1384241225414269,-0.19217386841773987,-0.04045780899269783,0.10380925894546342,-0.025346890091896057
10245,776.0710481538921,74.94665138115657,451.74680074251154,246.60079640594785,8,6,133,44,5,0.15554243216485333,0.1535785253274183,0.10912416875362396,-0.15497384719507817,0.1491245362767754,-0.12560856342315674,-0.019201570215441797,0.0944370511042486,-0.01623198203742504
10247,121.13656110295572,295.06480254996166,910.1754486834844,139.1470138700069,77,31,265,99,3,0.18601641212855502,0.11795640540736016,0.15410573780536652,-0.19552371806558436,0.10395904892785546,-0.17166714370250702,-0.00594453488159958,0.09030229208871277,0.001416653860360384
10249,794.939506171726,218.60397811614916,597.0448791623909,171.54338972904773,11,6,64,30,1,0.2957253734245373,0.1755941587760603,0.2756892144680023,-0.2828183185083886,0.15042082332024187,-0.27138182520866394,-0.07539352490969475,0.11751004096412199,-0.07282166928052902
10315,1322.489444307192,452.2704607320368,286.3417014811658,714.8099988826398,2,0,11,1,0,0.39830640358076236,0.14651829036139122,0.43258386850357056,-0.3748538393198623,0.1240593178117367,-0.40263259410858154,-0.13373794049890841,0.09911384785376073,-0.14509737491607666
10317,475.4401795699444,255.16088789004272,564.1407049240551,271.5672227534991,1,1,20,10,1,0.2736293136594734,0.15016818901112902,0.26829269528388977,-0.2640120102500478,0.13778624953100677,-0.26748788356781006,-0.06493692214555523,0.10341897324785047,-0.05713358148932457
10318,297.82869249932645,116.17058010350364,497.2992695561695,253.3915582725809,15,3,21,3,1,0.28695478270270053,0.1329072835331235,0.2787831127643585,-0.2891848661084364,0.11173335907459687,-0.2887738347053528,-0.05606710392363658,0.0920203453316916,-0.0511917844414711
10319,315.5918069289374,107.28222115634571,175.72173539389533,357.0147875204909,5,2,14,6,2,0.3657426927687333,0.17565394149217597,0.3950808644294739,-0.35028240290875495,0.15282252948247216,-0.3751479387283325,-0.11642261211987862,0.11825484189586738,-0.11796610057353973
10365,1058.9828327913451,324.17853480707595,667.6777111104526,231.9979193046332,0,0,20,9,0,0.20621443767936862,0.1662613503737565,0.16640423238277435,-0.2086353002876769,0.145361300334596,-0.1814671754837036,-0.029652722174192063,0.1030900976714373,-0.01752755418419838
10367,1236.3730648225649,202.1990996031572,642.8102920034862,165.48132133837424,8,2,26,10,0,0.25378774298916507,0.1498264969082125,0.23353908956050873,-0.25240440392965263,0.1319046217086909,-0.24335195124149323,-0.04558017553228569,0.10368078307486182,-0.042437490075826645
10369,1031.789320743112,187.29619359948867,390.69522218093806,234.5613691073667,7,2,17,8,0,0.30174306136472273,0.15324223045435006,0.2969340682029724,-0.289756555141553,0.13607544911611164,-0.29070809483528137,-0.0854936921107292,0.10140347711340325,-0.08353838324546814
10405,949.6187879136596,385.3028822689299,613.1456710362089,0.8564974359707012,97,20,274,57,1,0.1782349208689277,0.11408229481865552,0.14702631533145905,-0.18810004803746175,0.09918463335284915,-0.16712677478790283,-0.0034588649992460686,0.08610480588476584,0.005090772174298763
10407,647.8203222773565,491.55659603713815,1141.9625178160788,138.68689773984545,4,2,22,12,2,0.2521047287035931,0.16386653798622328,0.22783882915973663,-0.24673287250039835,0.14374206089248878,-0.2340807169675827,-0.04803324438557466,0.11030606608352041,-0.04006832093000412
10409,490.4963429976891,230.79794880899223,777.7036342213413,147.92532986444135,7,9,32,26,1,0.26389638607169025,0.14900734078893257,0.2451397329568863,-0.2569383471505479,0.1287398201076092,-0.24574142694473267,-0.0649081200027077,0.10129027574782633,-0.06008708477020264
10435,496.3955566294095,316.83939179859743,679.1587955237892,158.704260156948,116,21,421,80,3,0.2189059441233813,0.1437353596260093,0.1803761124610901,-0.22744635757134885,0.12383152374602589,-0.20314477384090424,-0.020178129235092473,0.10365777706173922,-0.007049981039017439
10437,410.6830704585319,408.6099801196556,619.7393597671713,40.28355199445651,94,22,318,80,3,0.19543513069649004,0.12444449624633126,0.16350114345550537,-0.20365505566269285,0.1093835755216218,-0.18034245073795319,-0.016829730326555128,0.09432845325074633,-0.006287845317274332
10439,453.4171596838187,98.5224862316682,722.3965596908447,87.64778975940499,52,18,140,47,4,0.18557074410574778,0.11718170869703737,0.15314069390296936,-0.1907274985799984,0.10385845788607743,-0.16799145936965942,-0.02288385313384387,0.09074215720175322,-0.012919078581035137
10551,370.775513779126,122.25159953005247,727.9547166898885,151.7807307921626,34,10,115,49,5,0.21926028473916476,0.13565844277068284,0.19015659391880035,-0.22136006852257145,0.11686362765304965,-0.20082135498523712,-0.03632934118719304,0.09434135187716815,-0.02758481539785862
10553,771.0664055637201,287.91767459769625,504.05088330592207,202.87722899742343,17,6,81,29,1,0.1468657005919709,0.12270438998651019,0.10864868760108948,-0.1522570777411056,0.11067161408221429,-0.12809187173843384,-0.005339327477757945,0.09012948783537889,0.0020749473478645086
10555,488.34323506894657,159.9615692542013,166.51502753153164,81.73638059145077,20,5,127,34,3,0.2228909826284771,0.14845664779252835,0.19333484768867493,-0.22119244931988108,0.13504536402857203,-0.2048710584640503,-0.04016168527248135,0.10655622572918344,-0.02644701860845089
10557,414.11587695798113,202.6674811382376,372.9927640006306,378.814711995224,16,2,60,14,2,0.22257753918714104,0.16008565313258216,0.1892642229795456,-0.21777297003645965,0.14305096089142894,-0.1960676908493042,-0.03376439610381843,0.09856274275938018,-0.019434625282883644
10559,607.7534673392012,482.78726907183335,433.9351363916164,159.81978655431732,29,13,101,35,4,0.21881468603216067,0.13787068574847403,0.1843893826007843,-0.21807499360940696,0.11944900335580655,-0.19244270026683807,-0.0340442345430027,0.09692893350888541,-0.027964651584625244
10585,131.95182627877358,196.96649536327607,670.5444530028843,191.72622689600212,38,16,167,43,4,0.19984488168703787,0.13159831159854984,0.1644013226032257,-0.20123157941396788,0.11440125996300898,-0.1772039234638214,-0.02015163143455587,0.09618402987773328,-0.00819387286901474
10587,713.5308677407031,66.17305670328929,432.0065202493171,222.3099997291297,22,5,100,18,3,0.20747088060256186,0.1359042211759631,0.18095801770687103,-0.20160228922391119,0.12141418001313264,-0.18360227346420288,-0.02910113526168837,0.10249644255601431,-0.02024158276617527
10589,155.0036100982721,164.53471088291346,153.7384383143562,200.6488254020264,18,4,42,6,2,0.23596096415957074,0.13934263739576322,0.20739629864692688,-0.24213440089379706,0.11845262151750449,-0.23301614820957184,-0.04026862756529851,0.10321505930289002,-0.03328284993767738
10623,361.86497446112327,100.50348576537242,87.10859337781696,426.9570232357176,78,3,321,21,6,0.16191297258649553,0.1214695704108227,0.1264970898628235,-0.16334617770448023,0.10911212199893668,-0.13924050331115723,0.00485672732480521,0.09280269447640899,0.01567111536860466
10625,364.6276587500128,311.8505142408381,568.1787837538969,132.75219904802785,74,16,354,57,5,0.18664116483657708,0.11636769267055433,0.15917560458183289,-0.18830617463457983,0.10342425206509526,-0.16951128840446472,-0.007896902001168587,0.08632239313787292,0.00041699327994138
10627,286.878826039443,326.20809962986345,925.5450285930962,59.79808846959547,139,25,330,59,6,0.16622424095253094,0.1101673782194669,0.13792410492897034,-0.1711980533040157,0.09807320121422687,-0.15098854899406433,-0.0006304947993499219,0.08422825901345081,0.008149342611432076
10629,282.4651205867586,347.68104612317615,1046.4419364010198,230.41254287601004,100,17,375,58,4,0.1835484442709661,0.12180485967067038,0.14926554262638092,-0.19152217478950262,0.10595944593414106,-0.1700935959815979,-0.009359552761197485,0.09180037120936484,0.002116101561114192
10707,365.2049461749023,184.32627360179129,237.3337891501076,60.159563149955005,38,7,242,29,4,0.24509748066301645,0.13677898561282228,0.2229495793581009,-0.24678074963936178,0.11963724778631232,-0.2341669201850891,-0.03407866392727791,0.09922954358270222,-0.028213774785399437
10709,421.9010194751044,194.35554377781287,777.9511092169753,206.1769957513641,15,4,125,24,4,0.22338364270268654,0.13657726219945335,0.20402848720550537,-0.22043460143303856,0.1188250676643286,-0.20900043845176697,-0.031934819121205785,0.09263299785334918,-0.024755079299211502
10711,140.1906064111384,275.0979297870843,721.4621749701062,125.1323786176851,22,1,63,11,2,0.24921544019915348,0.1531325892036039,0.21259480714797974,-0.24620495370388823,0.1328343948693704,-0.22088007628917694,-0.052554079592646026,0.10181828523204658,-0.03627942502498627
10713,564.025128753432,444.5432553134573,198.1396429410636,270.20011938141744,8,0,56,19,3,0.3014156919301377,0.16428833425574316,0.30315664410591125,-0.28830633012692825,0.1411089222440742,-0.2942426800727844,-0.08012873344674273,0.10954961601976902,-0.0729450136423111
10715,500.53029444218896,205.6409126530376,440.0109070471661,74.71093313832179,27,6,114,26,5,0.2678652759838627,0.1574106102520712,0.23703217506408691,-0.26619908395721714,0.1337741766700051,-0.2515592575073242,-0.04453745629200751,0.11647726742173127,-0.034429848194122314
10717,229.53815507538533,409.27699976826335,409.3726649117155,142.79490752078976,44,12,170,32,7,0.21421394066006758,0.12475261474533417,0.1873474419116974,-0.2174099039526747,0.10830054042677928,-0.20019620656967163,-0.023970094392324583,0.08988002118488303,-0.017079472541809082
10719,444.3151806778469,110.43480700771954,365.35347739590304,156.39695933091102,105,8,383,37,7,0.1982506598462618,0.13171649078784387,0.16814002394676208,-0.19836006889630373,0.11531967237326976,-0.17811934649944305,-0.02303450448172433,0.09439576101738924,-0.014135455712676048
10777,160.09812641626604,209.9183833205918,209.90262088405308,84.237485759168,61,7,241,35,6,0.22390955295083534,0.1352387683531517,0.20242691040039062,-0.2221343102860764,0.11881159753322075,-0.2092502862215042,-0.0384138915424184,0.0992584472610291,-0.032511837780475616
10779,355.6996292552806,137.28270837816683,287.9440044575668,177.1506474415195,33,5,189,33,7,0.23930967915152385,0.1301879909192504,0.22000840306282043,-0.2385892743998661,0.11139102680666858,-0.2267322689294815,-0.043884421331303,0.0978654752378497,-0.03980053961277008
10781,489.6290956462064,151.50504612941646,796.9965803538093,36.29338409849607,74,7,243,57,6,0.2325649232295385,0.1441606561954235,0.200956791639328,-0.2345576697256661,0.12617347897655123,-0.21606871485710144,-0.031065279947501672,0.1061702855347551,-0.021034743636846542
10783,168.45744309870983,103.2404085237765,265.5047455845177,12.484990889769332,37,14,158,38,6,0.24642009615882926,0.16000408888450499,0.21160130202770233,-0.24380725578836587,0.13943102454175235,-0.22096318006515503,-0.045389087091585345,0.11272635493424689,-0.03484724089503288
10785,592.195068415871,127.27720758915406,87.39293186710447,279.72941159289445,25,4,106,24,5,0.1785812066525829,0.13034922243333366,0.14488816261291504,-0.18227553702215968,0.11594974617278837,-0.16077524423599243,-0.008232599313641337,0.09596629121225288,-0.00289011187851429
10787,578.517949171698,251.4485455332269,32.24598053778749,698.4420393045386,39,3,157,14,6,0.29265071979777535,0.17082649931662616,0.29244762659072876,-0.27657524562252933,0.15109791452878124,-0.28025561571121216,-0.08235288286379319,0.12041617386963871,-0.0816153883934021
10789,216.8237199365,514.5197194220137,316.6401154848708,112.54596022287812,91,9,263,25,8,0.17947947761565808,0.13721891278381726,0.14080718159675598,-0.1771858447882126,0.12206482141957936,-0.14860334992408752,-0.020769139442419534,0.09862823714019402,-0.01231243647634983
10823,337.74099932917625,231.24037453325772,582.7114970668133,116.82657897352746,70,22,201,53,6,0.1956295061099289,0.13552153672212983,0.1535787582397461,-0.2034952114565401,0.11842203281461237,-0.17663753032684326,-0.0022833531561386703,0.10303541884453501,0.005517377518117428
10825,111.78452488925042,163.0324995286567,116.87491230863418,47.39321421621005,20,4,117,37,6,0.2589058565360831,0.15452568264025124,0.22392638027668,-0.2581128897783055,0.130365101869517,-0.2371225506067276,-0.04028291907767077,0.11305612637634924,-0.03217243403196335
10827,524.7048487864863,192.69479951764367,702.8090273665174,41.66292160817095,68,22,168,50,5,0.2080546559698427,0.14438987284900356,0.166253462433815,-0.21174217329273545,0.1265554889230779,-0.18342354893684387,-0.018747970037836344,0.103240976954292,-0.008262543939054012
10829,429.0036187980559,216.93761513686675,687.8480744602597,200.76029954101617,12,3,53,20,4,0.2226948853628698,0.15120417171342423,0.1927339732646942,-0.22629064653541267,0.1325831476140587,-0.20358626544475555,-0.027129473421815247,0.0983142113607014,-0.01829651929438114
10961,143.31407692677493,240.70413162247303,611.6876949247093,16.327110119915837,62,12,164,37,6,0.22230324427043469,0.14975283546135865,0.18171682953834534,-0.22631659994319994,0.12438453159089488,-0.19960810244083405,-0.02844207919373804,0.10858108766960298,-0.014532841742038727
10963,139.38558773377008,167.8085141634291,347.481311075012,125.5320603620302,19,5,112,27,9,0.22627836438480048,0.15754455989798768,0.1891569346189499,-0.22301755757758704,0.1388316231195769,-0.19665983319282532,-0.03530895849808572,0.11463652873609737,-0.021655166521668434
10965,98.90041545867508,187.7628988547985,366.0976008063443,101.2697747525663,55,10,155,33,4,0.21392051057670852,0.15203451974124466,0.1688518077135086,-0.21673403416200426,0.128756225284518,-0.18613171577453613,-0.014551393508181559,0.11627308613438171,-0.0019780704751610756
10967,542.5845178051941,337.14933391255187,519.9253516541761,113.4818861927237,71,16,246,67,3,0.2744410163221889,0.16858421435510118,0.24384555220603943,-0.26585911981158383,0.14613023969759792,-0.24137930572032928,-0.059504169685358904,0.11713298320587325,-0.04523520916700363
10969,502.2920254505748,107.4856511335792,595.5621962581183,148.1104290740309,17,10,120,31,5,0.2796652045646695,0.15729238043672158,0.2720818519592285,-0.26552305664561,0.13646297981206873,-0.26260682940483093,-0.06905573808037993,0.11585891238003651,-0.06953636556863785
10997,413.9187089551437,201.4644452279295,600.9655825433714,29.766168695251025,83,16,271,60,2,0.22119336809430803,0.1396451158959711,0.1925370991230011,-0.221898433140346,0.12246990359421397,-0.20210376381874084,-0.031988393043985174,0.10003979262925405,-0.024570979177951813
10999,357.1901231722037,208.81265592885455,496.1691721191215,90.54296568498964,121,32,348,78,3,0.19133697147804807,0.12477710806632925,0.16198581457138062,-0.19710222109743655,0.10798541013374335,-0.17877475917339325,-0.013283062917726135,0.09765708047508206,-0.004219583235681057
12043,275.47168889018417,462.9251869308404,485.41758876253385,265.7476790863265,79,31,227,89,4,0.1804673927985146,0.12707132647268388,0.14193807542324066,-0.1943055249804762,0.10973370241858231,-0.16974972188472748,0.00012521817947732053,0.09699834640976865,0.011440540663897991
12045,545.5403130274459,268.3393301185459,661.8640866607705,82.47111162822425,56,19,204,72,1,0.22157190515726605,0.12650402704172703,0.19173084199428558,-0.22801384955633208,0.10779773965914284,-0.20848268270492554,-0.020290864542949327,0.09815664356119844,-0.008541560731828213
12047,613.8366455712573,196.06423697534916,166.83982382286752,112.12588052417922,98,26,308,85,3,0.20601306342251657,0.12463112719498244,0.17581400275230408,-0.21195739333641464,0.10822042144108401,-0.19158561527729034,-0.013842231412938886,0.09612940004685619,-0.002119228942319751
12049,330.9717307668055,44.842977280451926,451.9906145839595,32.64570073279821,56,21,128,54,4,0.25210204362170086,0.1642088394532468,0.20971740782260895,-0.25423893129542846,0.13955043872416395,-0.22440403699874878,-0.026663184272350742,0.11148832186650261,-0.007360238581895828
12051,172.52211935356544,476.1716154151347,315.19421606103305,173.6750799138251,49,15,98,43,4,0.27262054276001146,0.16522536332798052,0.23765936493873596,-0.27200447766547636,0.1388264735148078,-0.248681902885437,-0.051737453177060085,0.1155578141026007,-0.037168409675359726
12053,478.4529071465449,247.44724932992276,703.7624022021472,159.92818225623628,48,29,244,96,4,0.2322856184322777,0.15652079700828955,0.194062277674675,-0.2350553418641554,0.1327011128655757,-0.20790472626686096,-0.031442355343175944,0.10661990228836801,-0.023388883098959923
12055,361.7682435758412,405.23904718908375,409.2904425815227,13.07231769028772,26,12,88,38,3,0.20864626579557424,0.13368008480891785,0.17341434955596924,-0.2187529301862551,0.11651505825938811,-0.1989627182483673,-0.015604803340549488,0.09549515906920833,-0.0028875390999019146
12057,1420.8295575559423,385.631658268102,412.1617446484293,124.76316790408454,4,4,19,5,0,0.2905057973512626,0.16969226147579353,0.2999575734138489,-0.28490323549690727,0.14509395538839084,-0.2977219223976135,-0.07719486189381138,0.11081951444839193,-0.07842660695314407
12059,875.511569000699,189.37640314994923,187.15868997336224,104.23653692271746,14,6,103,38,1,0.2520502522008445,0.14607323503515782,0.23188960552215576,-0.25158476701902244,0.12543555816631977,-0.24139323830604553,-0.04656422323576504,0.10328617975094889,-0.03732116520404816
12099,1203.3273401094016,554.4762027654616,481.7696095608106,673.345714327661,2,1,5,3,0,0.2884082516916125,0.166685669776961,0.32882362604141235,-0.2797844090713466,0.14744454150891007,-0.3266074061393738,-0.039664008312235065,0.10279498770244436,-0.011209117248654366
12101,362.3026927187591,26.687933563149997,453.7842714994519,361.418480093421,1,0,19,10,3,0.33418198595364523,0.13528000618117544,0.3377183973789215,-0.3269877948997002,0.11151588044117096,-0.3321286737918854,-0.09021036581415838,0.09467508139021996,-0.09109033644199371
12103,873.3730119975967,443.5913902395088,292.1965815516546,272.2449332569422,2,2,27,11,2,0.2603548112710114,0.15423298333827423,0.25571757555007935,-0.26456269708149954,0.13686602028553693,-0.2776910960674286,-0.026198179042851676,0.09823571663998171,-0.02149149402976036
12105,781.7650064563604,213.9879514762116,634.5036192760682,68.58327840349186,3,1,16,8,2,0.3402700455845513,0.13849545171797617,0.34586042165756226,-0.33028225074594714,0.11468882151551546,-0.3347078859806061,-0.08205955491736741,0.11329191292033311,-0.08266060799360275
12107,1409.0530700112167,518.9518447016526,400.4173742204419,519.270447787831,4,2,8,4,0,0.3531944414007714,0.12468089815434742,0.3574770987033844,-0.3414321426650357,0.10240788957751941,-0.3453022241592407,-0.08633618571845515,0.09098432646394683,-0.08465281128883362
12109,945.1761790554096,546.0467878062478,579.1905566199438,141.53169692495388,4,1,16,8,1,0.3451982253824092,0.13420818065911014,0.3574329912662506,-0.3282235587456182,0.11632567564423821,-0.3429888188838959,-0.09082747022386871,0.09577777171784488,-0.09498430043458939
12157,647.4381856327221,214.4794905540705,304.5798020151194,144.4201360887319,10,1,43,11,3,0.28202388559477476,0.13445950681453536,0.2730661630630493,-0.2807743993567349,0.11379996019249432,-0.2803255021572113,-0.054254778888405956,0.09404725264821881,-0.049144111573696136
12159,452.82275932908095,301.1323824376218,1067.921111947514,85.5326911936545,26,9,90,26,5,0.23579428745213785,0.12409639954594409,0.2188156247138977,-0.24021971409839663,0.10593631263805485,-0.23297491669654846,-0.0325012791286096,0.08941983395631008,-0.026076575741171837
12161,242.2748247668441,136.26192011142385,787.9872045952307,28.8141015017172,40,10,130,34,6,0.2366684247862618,0.11993458888358882,0.2192937284708023,-0.2452960911604411,0.10251305492472892,-0.23931041359901428,-0.021907493206142832,0.08847029888770294,-0.016117330640554428
12163,466.9863322723708,244.75963098665247,604.2799376301774,191.4343286958209,32,8,122,28,5,0.26387520610365894,0.1347062006052678,0.24985186755657196,-0.26485216842737047,0.11528980158302088,-0.26183998584747314,-0.044131981013790754,0.09508235655627965,-0.03859921172261238
12165,434.2058534722024,151.67110064089115,216.72484565554163,58.127899367541445,11,5,80,18,2,0.3193847780922858,0.15103723448554965,0.335268497467041,-0.3083975772572769,0.12968043609190474,-0.3244904577732086,-0.08081064817169746,0.10709146923606008,-0.08311234414577484
12167,1260.904490904676,151.03818087667312,8.687071433178097,115.24640360436464,14,5,34,15,0,0.33504940462434657,0.15374307856571076,0.34266364574432373,-0.3246632023579944,0.1289733762221203,-0.3298928141593933,-0.09070300484408868,0.11291502771655651,-0.09084439277648926
12169,915.0688626302608,391.4390481784948,463.8951557909155,202.1112609989229,5,5,27,12,1,0.3734490952007078,0.16008551803813728,0.41811639070510864,-0.34973416974875654,0.1379282571344051,-0.3859713673591614,-0.1236587911673216,0.11209648348146754,-0.14583446085453033
12203,637.9652763741929,265.84665445192127,445.67514825158815,174.79853967189877,7,3,29,6,1,0.3199687572347203,0.12848307630998598,0.32421964406967163,-0.3101727276990995,0.10798482615549664,-0.31625130772590637,-0.07107423496575233,0.09292905550921203,-0.06972292810678482
12205,1810.620634412696,368.5641283052261,581.988777423974,38.82197395660332,5,0,12,2,0,0.3627228409344335,0.11947725743464387,0.36792275309562683,-0.3499634986897859,0.09783735994278761,-0.3543613851070404,-0.09010385139225181,0.09301532581578514,-0.08771315962076187
12207,1217.0693697524114,460.5891110003976,287.52582783050406,311.9133731859967,4,1,10,5,0,0.35205230654524733,0.14343725951296304,0.3715555667877197,-0.33347483300196035,0.12631831141982128,-0.3523666560649872,-0.10902682023131693,0.10529795546108221,-0.11538393050432205
12209,1384.0884672286084,363.449239253014,409.0720392645956,272.67760702347016,2,0,13,1,0,0.3545375728157274,0.10838736888879955,0.3589484393596649,-0.34138576123812636,0.09000178296844924,-0.3460531234741211,-0.09562549836687571,0.081208552273792,-0.09661779552698135
12247,1122.2427720239878,229.26048755557528,206.45939978183029,274.35024588298955,12,3,19,3,0,0.3280802029834439,0.13890191450484293,0.3330068588256836,-0.31957188506842543,0.11665419841398547,-0.32775330543518066,-0.07724915290648526,0.10184175219059584,-0.07717055827379227
12249,1581.1434141575935,431.28086698394617,431.4427720104327,348.2568695812985,2,1,6,3,0,0.32292320243671796,0.13984918294914012,0.33420056104660034,-0.3131085747474304,0.11713548435970308,-0.3235776424407959,-0.07289058073548423,0.09441941446770778,-0.07703757286071777
12277,625.5997864341344,472.9685458067965,297.2755055013194,333.818620939935,1,0,6,2,1,0.3043091566919916,0.14735580156949363,0.31412410736083984,-0.29965533490817725,0.12540185275868693,-0.3135297894477844,-0.06587146132971776,0.09729924536393698,-0.06993541121482849
12279,2033.82067863828,112.35899949015032,218.71512060117928,62.260026564929866,3,1,11,3,0,0.3292579271258612,0.15011518470793567,0.34208136796951294,-0.31935889382056964,0.13036282354343853,-0.3338099420070648,-0.0789152643272359,0.10247842224780926,-0.08338616788387299
12305,775.8398691039564,452.75590157381953,789.6414284883714,361.5615133804933,0,0,8,5,1,0.3844205679392839,0.10612331838847427,0.39342790842056274,-0.3670570303540711,0.08924284950480972,-0.3755425214767456,-0.11140457448852414,0.0820759765553106,-0.11439190804958344
12307,823.9687970774538,575.7748984902248,141.70744628530534,26.28507670697725,1,0,7,1,1,0.4049618189460097,0.14316430238053418,0.4108370542526245,-0.3882641439715069,0.12055241943822939,-0.38874363899230957,-0.12274530188031856,0.11480482455195727,-0.11814495921134949
12309,1491.3095935680751,48.3173998317986,474.8679931979538,221.8810562184532,0,2,7,3,0,0.36516736393859955,0.1306457111094818,0.365780770778656,-0.35212009552484386,0.11244728431020735,-0.35564181208610535,-0.10097438689703117,0.0976237685234579,-0.09995724260807037
12347,1646.73763825739,594.0132563645349,537.8538702281431,321.0905729396131,0,0,9,3,0,0.3186158973097375,0.18599296491247838,0.3827125132083893,-0.3072728906150249,0.15951867370728046,-0.3647819757461548,-0.08696019145761522,0.10607938832568496,-0.10188435763120651
